field_family,subject,status,reason,blocking_source,fallback_used
§5.11,modelled rider performance,OUT_OF_SCOPE,"A physics estimate of rider power needs rider and system mass, CdA and rolling resistance. Rider physiology and mass are excluded by policy, not by availability, so the inputs cannot be obtained without inventing them and every output would inherit that invention while looking like a measurement. The deterministic layer that does not need them — gradient, heading, wind resolved onto heading, air density, solar geometry — is delivered in full at §5.10, §5.19 and §5.20, and describes the road rather than any rider.",,
§5.13,race-dynamics timing record,ACCESS_RESTRICTED,"Live time gaps, group composition and split timings are served only from the same robots-disallowed /ajax paths. No lawful source publishes them in a fetchable form, and they cannot be reconstructed from finish times without inventing the intermediate state. Nothing in the product claims a gap, a group or a split that was not published as a finishing time.",letour.fr,
§5.14,historical context corpus,UNAVAILABLE,"Pre-2026 baselines — prior participation summaries, historical climb benchmarks — are explicitly deferrable, and are deferred. No lawful, free, machine-readable source for per-climb historical ascent times was identified that does not sit behind a bot challenge. Recorded here rather than left unmentioned: the absence is a decision, not an oversight.",,
§5.16,road infrastructure and surface attributes,ACCESS_RESTRICTED,"OpenStreetMap is the only realistic free source for road surface, width, lane count and junction data along the whole route. The Overpass query service disallows /api/ in its robots.txt, so it is not used. The data itself is ODbL and freely redistributable — the restriction is on this access method, not on the data — and a bulk extract would be a lawful alternative this project has not implemented. Partial cover does come from the organiser directly, in its finish-line siting notes; the parse step amends this entry with how many stages those cover. Those notes describe the finish only, and no road attribute is claimed anywhere else on the route. Measured so far: carriageway width for 17 stages, final-straight length for 16.",overpass-api.de,
§5.2,stage 14 official distance axis agrees with KM0,CONFLICTING,"Walking the official 155.3 km backwards from the published finish lands 8.79 km from the organiser's own published KM0. The line's length and the stage's stated distance disagree by more than a start-line offset, so the line is not used as a distance axis. The line examined was published as 395 parts that cannot be ordered (parts meet at a junction where more than one continuation is possible); the single longest part was tested against the published anchors instead.",aso-arcgis,
§5.2,stage 2 official geometry lap structure,CONFLICTING,"The official polyline measures 143.24 km against an official 168.5 km, i.e. shorter: the finishing circuit is drawn once rather than repeated per lap. Route offsets cannot be mapped to positions on this line, so it is not used as a distance axis. The line examined was published as 406 parts that cannot be ordered (parts meet at a junction where more than one continuation is possible); the single longest part was tested against the published anchors instead.",aso-arcgis,
§5.2,stage 21 course superseded by route amendment,CONFLICTING,"The organiser shortened stage 21 to 89 km from 133 km on 25 July, after the Ministry of the Interior redeployed security forces to the wildfire response in the Gironde and elsewhere. The riders no longer race from Thoiry: the caravan parades and transfers, the teams are presented at Thoiry and travel to Paris by bus, and the race is started from the finish line on the Champs-Élysées at 17:50 for a scheduled finish at 19:45 local time (CEST). The 133 km route this project holds — its line, profile, 50 roadbook rows and every passage window, solar angle and weather sample derived from them — describes a course that will not be ridden, so it is retained as evidence of what was published and withheld from the product. A replacement itinerary has not been published in a form this project can capture.",letour.fr,
§5.2,stage 21 official geometry lap structure,CONFLICTING,"The official polyline measures 57.62 km against an official 88.7 km, i.e. shorter: the finishing circuit is drawn once rather than repeated per lap. Route offsets cannot be mapped to positions on this line, so it is not used as a distance axis. The line examined was published as 569 parts that cannot be ordered (parts meet at a junction where more than one continuation is possible); the single longest part was tested against the published anchors instead.",aso-arcgis,
§5.21,"land cover, canopy and shelter context",UNAVAILABLE,"Canopy, land-cover class and shelter along the route would qualify the wind fields — a crosswind through forest is not a crosswind across an open plateau. No free source was identified that can be queried along a line at this resolution without breaching an access policy, so no shelter or exposure qualifier is claimed anywhere. The wind components that are published are resolved onto the road heading and describe the open-air flow only.",,
§5.23,imagery and remote-sensing corpus,UNAVAILABLE,"Sentinel-2 and IGN orthophotography are both lawfully usable, so this is a deliberate deferral rather than a restriction. Imagery is admitted only where it produces genuine insight and never as decoration, and no view in this product currently meets that test: the route map deliberately carries no basemap, so that nothing implies surveyed cartographic accuracy the project does not have. Adding tiles would undercut that.",,
