field_family,subject,status,reason,blocking_source,fallback_used
§5.11,modelled rider performance,OUT_OF_SCOPE,"A physics estimate of rider power needs rider and system mass, CdA and rolling resistance. Rider physiology and mass are excluded by policy, not by availability, so the inputs cannot be obtained without inventing them and every output would inherit that invention while looking like a measurement. The deterministic layer that does not need them — gradient, heading, wind resolved onto heading, air density, solar geometry — is delivered in full at §5.10, §5.19 and §5.20, and describes the road rather than any rider.",,
§5.13,race-dynamics timing record,ACCESS_RESTRICTED,"Live time gaps, group composition and split timings are served only from the same robots-disallowed /ajax paths. No lawful source publishes them in a fetchable form, and they cannot be reconstructed from finish times without inventing the intermediate state. Nothing in the product claims a gap, a group or a split that was not published as a finishing time.",letour.fr,
§5.14,historical context corpus,UNAVAILABLE,"Pre-2026 baselines — prior participation summaries, historical climb benchmarks — are explicitly deferrable, and are deferred. No lawful, free, machine-readable source for per-climb historical ascent times was identified that does not sit behind a bot challenge. Recorded here rather than left unmentioned: the absence is a decision, not an oversight.",,
§5.16,road infrastructure and surface attributes,ACCESS_RESTRICTED,"OpenStreetMap is the only realistic free source for road surface, width, lane count and junction data along the whole route. The Overpass query service disallows /api/ in its robots.txt, so it is not used. The data itself is ODbL and freely redistributable — the restriction is on this access method, not on the data — and a bulk extract would be a lawful alternative this project has not implemented. Partial cover does come from the organiser directly, in its finish-line siting notes; the parse step amends this entry with how many stages those cover. Those notes describe the finish only, and no road attribute is claimed anywhere else on the route. Measured so far: carriageway width for 17 stages, final-straight length for 16.",overpass-api.de,
§5.21,"land cover, canopy and shelter context",UNAVAILABLE,"Canopy, land-cover class and shelter along the route would qualify the wind fields — a crosswind through forest is not a crosswind across an open plateau. No free source was identified that can be queried along a line at this resolution without breaching an access policy, so no shelter or exposure qualifier is claimed anywhere. The wind components that are published are resolved onto the road heading and describe the open-air flow only.",,
§5.23,imagery and remote-sensing corpus,UNAVAILABLE,"Sentinel-2 and IGN orthophotography are both lawfully usable, so this is a deliberate deferral rather than a restriction. Imagery is admitted only where it produces genuine insight and never as decoration, and no view in this product currently meets that test: the route map deliberately carries no basemap, so that nothing implies surveyed cartographic accuracy the project does not have. Adding tiles would undercut that.",,
§5.3,stage 1 route geometry,CONFLICTING,"Third-party GPX length disagrees with the official stage distance by -6.252 km, so it is not this stage's route. Elevation profile, gradients, climb detection and distance-based waypoint positioning are all withheld for this stage.",cyclingstage.com,
§5.3,stage 2 route geometry,CONFLICTING,"Third-party GPX length disagrees with the official stage distance by 2.727 km, so it is not this stage's route. Elevation profile, gradients, climb detection and distance-based waypoint positioning are all withheld for this stage.",cyclingstage.com,
§5.3,stage 4 route geometry,CONFLICTING,"Third-party GPX length disagrees with the official stage distance by -2.998 km, so it is not this stage's route. Elevation profile, gradients, climb detection and distance-based waypoint positioning are all withheld for this stage.",cyclingstage.com,
§5.3,stage 5 route geometry,CONFLICTING,"Third-party GPX length disagrees with the official stage distance by 2.304 km, so it is not this stage's route. Elevation profile, gradients, climb detection and distance-based waypoint positioning are all withheld for this stage.",cyclingstage.com,
§5.9,"points, mountains, youth and team classifications beyond the top ten",ACCESS_RESTRICTED,"letour.fr serves these tables only from robots-disallowed /ajax paths, so they are not fetched. A CC BY-SA encyclopaedic source supplies the top ten with its authority downgrade shown in the product. They are not derived, because they depend on intermediate-sprint and mountain placings that no reachable page publishes — deriving them would mean inventing the inputs. The general classification, which depends only on data this project holds, is derived in full for the entire field instead.",letour.fr,wikipedia
